Decoded 3167.8 seconds
[00:00.000 --> 00:14.000] 正常的经常在二十四小时,要挂货,要两个点点。
[00:14.000 --> 00:34.000] 第二个是那种系统的单子,它是有规定你什么时候受这发火的安全,你到时候输出来能写清楚,然后黄泽全接待那时候要把那个时效的配置。
[00:35.000 --> 00:46.000] 还有没有限制过,要把产品的生产都输掉来的传用配置上去。
[00:46.000 --> 01:12.000] 还有没有生产配置上去,然后接着那个时候,把实际的发火时效给来的,要小于生产都输掉来的配置上去。
[01:13.000 --> 01:26.000] 那个烤起来接待之后要录进去,还配上去的,发火也是这样的,就像那个根据日期把它控制了。
[01:26.000 --> 01:31.000] 要么现在全部推过来超时不对,现在可能加高的不少是蓝色。
[01:31.000 --> 01:41.000] 然后那个时种单子的话,你单主要把它标准出来。
[01:42.000 --> 01:51.000] 我把这个发给你,然后下单的话你这里。
[01:51.000 --> 02:14.000] 下单这个东西要弄好,弄好,黄泽封好,你看一下这生产怎么配合,这是生殖吧。
[02:14.000 --> 02:21.000] 上次说拆单要加在那里什么,延迟发火也要加在那里什么。
[02:21.000 --> 02:24.000] 延迟发火它是在直接开灯的。
[02:24.000 --> 02:32.000] 有些不是要跟系统去沟通吧,修改时效嘛。
[02:32.000 --> 02:36.000] 甚至改单了,就系统改单了。
[02:36.000 --> 02:39.000] 改单了,定单修改了,你要加点批了。
[02:45.000 --> 02:52.000] 把这些功能给它配置上,然后那个OA那个时效就是,现在是24小时的懒收。
[02:52.000 --> 02:55.000] 24小时发火,24小时懒收。
[02:55.000 --> 03:00.000] 然后懒收的话,要求它是根据实际来,就火走的时候是懒。
[03:00.000 --> 03:10.000] 到底那个功能是写,念火还是写什么,它实际上差不多是用我们的WM还是差不多的。
[03:10.000 --> 03:17.000] 那还有些发烂那种什么化约啊,物流的时候也要拖单好。
[03:17.000 --> 03:21.000] 这里面都写,你们讨论一下,看你们的吧。
[03:21.000 --> 03:29.000] 就把每个产品的制造都器也要配置到那个那个标准物上面去发火。
[03:29.000 --> 03:32.000] 还有就是我上回的那个毛利的那个事情。
[03:33.000 --> 03:43.000] 就是每个品,我上飞用到时候就是,每个品后面把绑定一个市场费用,然后它下来来直接能到,能到,能到,
[03:43.000 --> 03:46.000] 能到些经销商在省区这样子,一到到上去。
[03:46.000 --> 03:49.000] 那这个是在,我觉得在产品户里面,唯后是不更好。
[03:49.000 --> 03:50.000] 对,就是在产品户里面。
[03:50.000 --> 03:55.000] 对啊,产品户里把成本拿了这些唯后,毛利价嘛。
[03:55.000 --> 03:56.000] 就是毛利,它是那个市场费用。
[03:57.000 --> 03:59.000] 这个才有几个点上去。
[03:59.000 --> 04:02.000] 上帝后来以后,他会有个辞职嘛。
[04:06.000 --> 04:11.000] 然后他这个市场费用的辞职是这样子的,你是谁卖的这个货。
[04:11.000 --> 04:15.000] 交上省区,幼稚园,省区。
[04:18.000 --> 04:20.000] 然后包括工程等级。
[04:21.000 --> 04:22.000] 最好是个辞职。
[04:22.000 --> 04:25.000] 能一到到晚上拆整谁,也是。
[04:25.000 --> 04:26.000] 拆整。
[04:26.000 --> 04:28.000] 他就说,要拆整。
[04:28.000 --> 04:29.000] 拆整。
[04:29.000 --> 04:30.000] 拆整。
[04:30.000 --> 04:33.000] 没有,他这个跟中央财政,跟地方财政一样。
